nom,dci1,dosage,unite_dosage,forme,presentation,ppv,ph,prix_br,princeps_generique,taux_remboursement,nom_ar,search_name
uro / eau pour irrigation,EAU POUR PREPARATION INJECTABLE,3000,ML,SOLUTION POUR IRRIGATION,1 POCHE 3 L,95.0,0.0,95.0,P,0%,ورو / ياو بوور يرريجاتيون,uro eau pour irrigation
eloxatine 5 mg/ml,OXALIPLATINE,200,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON 40 ML,2882.0,2555.0,2882.0,P,70%,يلوكساتيني 5 مج/مل,eloxatine 5 mg ml
vivalan,VILOXAZINE,100,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME,60.7,40.1,60.7,P,0%,فيفالان,vivalan
zadryl,CETIRIZINE,1,MG,SOLUTION BUVABLE,1 FLACON 60 ML,31.9,19.9,31.9,G,70%,زادريل,zadryl
mynazol,FLUCONAZOLE,50,MG,GELULE,1 BOITE 7 GELULE,87.0,54.2,87.0,G,70%,مينازول,mynazol
alfacefal 125 mg/5 ml,CEFACLOR,1.5,G,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,45.0,29.8,45.0,G,0%,الفاكيفال 125 مج/5 مل,alfacefal 125 mg 5 ml
nocand 50 mg,FLUCONAZOLE,50,MG,GELULE,1 BOITE 7 GELULE,35.0,21.8,35.0,G,70%,نوكاند 50 مج,nocand 50 mg
mediator,BENFLUOREX,150,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME,60.0,39.7,60.0,P,0%,ميدياتور,mediator
gastroliber,LANSOPRAZOLE,30,MG,GELULE GASTRO-RESISTANTE,1 BOITE 15 GELULE GASTRO-RESISTANTE,75.0,46.7,75.0,G,70%,جاستروليبير,gastroliber
clofene,DICLOFENAC,25,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 20 COMPRIME,20.5,12.8,20.0,P,70%,كلوفيني,clofene
zeldox,ZIPRASIDONE,40,MG,GELULE,1 BOITE 14 GELULE,318.0,211.0,318.0,P,70%,زيلدوكس,zeldox
triflucan,FLUCONAZOLE,2,MG,SOLUTION POUR PERFUSION,1 FLACON 50 ML,144.3,89.8,144.1,P,70%,تريفلوكان,triflucan
avt,ACIDE ACETYLSALICYLIQUE / THIAMINE (VITAMINE B1),600 / 5,MG / MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE,10.5,6.9,10.5,G,0%,افت,avt
klonopin,CLONAZEPAM,2,MG,COMPRIME QUADRISECABLE,1 BOITE 40 COMPRIME,41.2,25.7,41.2,P,70%,كلونوبين,klonopin
hydroxo 5000,HYDROXOCOBALAMINE,5000,µG,SOLUTION INJECTABLE,1 BOITE 4 AMPOULE,58.5,38.7,58.5,P,0%,هيدروكسو 5000,hydroxo 5000
dispamox,AMOXICILLINE,500,MG,COMPRIME DISPERSIBLE,1 BOITE 12 COMPRIME,34.6,21.5,34.6,G,70%,ديسباموكس,dispamox
musaril,TETRAZEPAM,50,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME,51.8,34.3,51.8,G,0%,موساريل,musaril
preterax,INDAPAMIDE / PERINDOPRIL,0.625 / 2,MG / MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,239.0,0.0,239.0,P,70%,بريتيراكس,preterax
claforan,CEFOTAXIME,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,69.0,43.0,69.0,P,70%,كلافوران,claforan
rhinofebral,PARACETAMOL / CHLORPHENAMINE,240 / 3.2,MG / MG,GELULE,1 BOITE 20 GELULE,14.3,9.5,14.3,P,0%,رهينوفيبرال,rhinofebral
rifasone,RIFAMYCINE / PREDNISOLONE,0.25 / 1,G / G,POMMADE,1 TUBE 5 G,12.0,0.0,12.0,G,0%,ريفاسوني,rifasone
fluibron,AMBROXOL,0.3,%,SOLUTION BUVABLE,1 FLACON 200 ML,38.85,25.7,38.85,G,0%,فلويبرون,fluibron
amoxil,AMOXICILLINE,500,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,38.9,24.3,38.9,P,70%,اموكسيل,amoxil
benclamid,GLIBENCLAMIDE,5,MG,COMPRIME,1 BOITE 60 COMPRIME,36.2,22.6,36.2,G,70%,بينكلاميد,benclamid
unasyn,AMPICILLINE / SULBACTAM,1 / 0.5,G / G,POUDRE POUR SOLUTION INJECTABLE,1 FLACON 3.2 ML,42.0,26.2,42.0,P,70%,وناسين,unasyn
lasilix,FUROSEMIDE,20,MG,SOLUTION INJECTABLE,1 AMPOULE 2 ML,7.4,4.6,5.6,P,70%,لاسيليكس,lasilix
dilator,SALBUTAMOL,2.5,MG,SOLUTION POUR INHALATION PAR NEBULISEUR,1 BOITE 10 RECIPIENT,41.2,25.7,41.2,G,70%,ديلاتور,dilator
formoftil,FORMOCORTAL,0.05,%,COLLYRE,1 FLACON .5 ML,17.8,0.0,17.8,G,0%,فورموفتيل,formoftil
gentagam 120,GENTAMICINE,120,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,15.8,9.8,15.8,G,70%,جينتاجام 120,gentagam 120
umiline profil 30 pen,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 CARTOUCHE 3 ML,104.0,65.0,104.0,P,70%,وميليني بروفيل 30 بين,umiline profil 30 pen
birodogyl,SPIRAMYCINE / METRONIDAZOLE,1.5 / 250,MUI / MG,COMPRIME PELLICULE,1 BOITE 15 COMPRIME,102.0,63.5,79.9,P,70%,بيرودوجيل,birodogyl
glema,GLIMEPIRIDE,2,MG,COMPRIME,1 BOITE 30 COMPRIME,40.0,25.0,40.0,G,70%,جليما,glema
salazopyrin,SULFASALAZINE,500,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 100 COMPRIME GASTRO-RESISTANT,141.7,88.3,141.7,P,70%,سالازوبيرين,salazopyrin
xanthium lp,THEOPHYLLINE,300,MG,GELULE LP,1 BOITE 60 GELULE,51.5,32.2,51.5,G,70%,كسانتهيوم لب,xanthium lp
airlix,CETIRIZINE,1,MG,SOLUTION BUVABLE,1 FLACON 60 ML,31.9,19.9,31.9,G,70%,ايرليكس,airlix
gynomyk,BUTOCONAZOLE,100,MG,OVULE,1 BOITE 3 OVULE,62.2,41.1,62.2,P,0%,جينوميك,gynomyk
avastin,BEVACIZUMAB,100,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON,3983.0,3689.0,3983.0,P,70%,افاستين,avastin
flumax 6000 ui anti-xa/0.6ml,ENOXAPARINE,6000,UI ANTI-XA,SOLUTION INJECTABLE,1 BOITE 2 SERINGUE PREREMPLIE,134.6,84.1,134.6,G,70%,فلوماكس 6000 وي انتي-كسا/0.6مل,flumax 6000 ui anti xa 0 6ml
paraplatine,CARBOPLATINE,50,MG,SOLUTION POUR PERFUSION,1 FLACON 5 ML,835.3,552.5,835.3,P,70%,بارابلاتيني,paraplatine
trifax iv,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,61.0,38.0,61.0,G,70%,تريفاكس يف,trifax iv
glucovance,METFORMINE / GLIBENCLAMIDE,500 / 2.5,MG / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,42.0,26.2,42.0,P,70%,جلوكوفانكي,glucovance
ixor,OMEPRAZOLE,10,MG,COMPRIME EFFERVESCENT,1 BOITE 28 COMPRIME,108.0,67.3,60.0,P,70%,يكسور,ixor
penicilline g 1 m ui diamant,BENZYLPENICILLINE,1,MUI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,10.3,0.0,7.65,P,70%,بينيكيلليني ج 1 م وي ديامانت,penicilline g 1 m ui diamant
diprivan,PROPOFOL,500,MG,EMULSION INJECTABLE,1 BOITE 1 KIT,314.9,208.3,314.9,P,0%,ديبريفان,diprivan
neoral,CICLOSPORINE,100,MG,SOLUTION BUVABLE,1 FLACON 50 ML,1736.0,1452.0,1736.0,P,70%,نيورال,neoral
agiderm,ACIDE FUSIDIQUE,2,%,POMMADE,1 TUBE 15 G,25.0,15.6,25.0,G,70%,اجيديرم,agiderm
gyno canesten,CLOTRIMAZOLE,1,%,CREME VAGINALE,1 TUBE 35 G,56.25,0.0,0.0,P,70%,جينو كانيستين,gyno canesten
cipro lp 500 mg,CIPROFLOXACINE,500,MG,COMPRIME PELLICULE LP,1 BOITE 3 COMPRIME PELLICULE,60.0,37.4,60.0,P,70%,كيبرو لب 500 مج,cipro lp 500 mg
cifloxine,CIPROFLOXACINE,500,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 10 COMPRIME ENROBE,120.0,74.8,120.0,G,70%,كيفلوكسيني,cifloxine
suprimase,FLUCONAZOLE,150,MG,GELULE,1 BOITE 1 GELULE,29.9,18.6,29.9,G,70%,سوبريماسي,suprimase
mediveine,DIOSMINE,300,MG,COMPRIME PELLICULE,1 BOITE 60 COMPRIME,62.4,0.0,62.4,G,0%,ميديفييني,mediveine
